epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5615.99,0.75726,0.78995,1.08146,0.79602,0.78762,0.83971,0.67827,0.75783,0.54082,1.02325,0.005842,0.005842,0.005842
44,5743.87,0.75014,0.78576,1.07279,0.76773,0.81319,0.84422,0.68572,0.74528,0.52931,1.01612,0.005743,0.005743,0.005743
45,5871.6,0.74358,0.77678,1.07144,0.76999,0.80973,0.84858,0.69038,0.74517,0.5293,1.01569,0.005644,0.005644,0.005644
46,5999.32,0.74722,0.76554,1.07235,0.78826,0.80795,0.85084,0.68914,0.74368,0.52551,1.01505,0.005545,0.005545,0.005545
47,6126.39,0.744,0.76175,1.06692,0.7766,0.8259,0.84749,0.69054,0.73412,0.5115,1.01047,0.005446,0.005446,0.005446
48,6253.99,0.74019,0.74516,1.06607,0.78973,0.80373,0.85369,0.69512,0.73743,0.51475,1.01138,0.005347,0.005347,0.005347
49,6381.41,0.7355,0.72969,1.06325,0.81007,0.82076,0.8572,0.70049,0.72866,0.50374,1.00869,0.005248,0.005248,0.005248
50,6509,0.73073,0.72808,1.067,0.81053,0.81559,0.86251,0.7075,0.72891,0.50264,1.004,0.005149,0.005149,0.005149
51,6636.55,0.73178,0.72754,1.06501,0.81705,0.81699,0.86805,0.71121,0.72873,0.49695,1.00495,0.00505,0.00505,0.00505
52,6763.95,0.7215,0.70342,1.05322,0.79542,0.84378,0.8719,0.71408,0.7228,0.48679,1.00322,0.004951,0.004951,0.004951
53,6891.48,0.71946,0.70678,1.0542,0.82484,0.82781,0.8734,0.72085,0.71614,0.47906,0.99871,0.004852,0.004852,0.004852
54,7018.99,0.71395,0.69516,1.05401,0.80306,0.84732,0.87871,0.72557,0.71241,0.47682,0.99623,0.004753,0.004753,0.004753
55,7147.23,0.71425,0.68295,1.04588,0.80602,0.86189,0.88568,0.73124,0.71184,0.47003,0.99423,0.004654,0.004654,0.004654
56,7274.84,0.71194,0.68678,1.04651,0.82494,0.8562,0.88691,0.7337,0.71067,0.46133,0.99306,0.004555,0.004555,0.004555
57,7402.64,0.70854,0.67664,1.05003,0.84337,0.85392,0.89124,0.73809,0.70417,0.45162,0.99057,0.004456,0.004456,0.004456
58,7530.28,0.69955,0.66702,1.04291,0.85671,0.82587,0.89318,0.73949,0.70061,0.45194,0.98994,0.004357,0.004357,0.004357
59,7657.68,0.70186,0.66038,1.0391,0.84421,0.85441,0.89577,0.74427,0.69891,0.44479,0.9887,0.004258,0.004258,0.004258
60,7785.3,0.6941,0.65227,1.04119,0.85179,0.85125,0.89894,0.74914,0.69433,0.43647,0.98425,0.004159,0.004159,0.004159
61,7912.94,0.68283,0.6439,1.03673,0.87535,0.82794,0.90129,0.75186,0.6915,0.43581,0.9821,0.00406,0.00406,0.00406
62,8040.48,0.68412,0.64459,1.03551,0.83837,0.85986,0.9075,0.75283,0.69414,0.43403,0.98265,0.003961,0.003961,0.003961
63,8167.8,0.68277,0.64067,1.03498,0.85192,0.85724,0.9106,0.75732,0.68974,0.42482,0.9814,0.003862,0.003862,0.003862
64,8295.45,0.67967,0.62556,1.03314,0.8851,0.84407,0.91139,0.76057,0.68752,0.42233,0.97972,0.003763,0.003763,0.003763
65,8422.66,0.67856,0.62803,1.03072,0.86216,0.85751,0.90765,0.75477,0.68671,0.41708,0.97903,0.003664,0.003664,0.003664
66,8549.87,0.67058,0.60947,1.02799,0.87054,0.85965,0.90933,0.75748,0.68548,0.41351,0.97851,0.003565,0.003565,0.003565
67,8677.27,0.67176,0.60882,1.031,0.87869,0.86114,0.91267,0.76319,0.6825,0.40984,0.97683,0.003466,0.003466,0.003466
68,8803.53,0.66393,0.59825,1.02684,0.86858,0.87059,0.91412,0.76316,0.68039,0.40866,0.97624,0.003367,0.003367,0.003367
69,8930.01,0.66129,0.58747,1.02319,0.85705,0.87921,0.91513,0.76591,0.67756,0.40765,0.97474,0.003268,0.003268,0.003268
70,9057.77,0.6593,0.5797,1.02479,0.89224,0.86024,0.91765,0.76962,0.6764,0.40612,0.97244,0.003169,0.003169,0.003169
71,9185.26,0.65375,0.56904,1.01775,0.87893,0.87146,0.91923,0.77026,0.67451,0.40405,0.97184,0.00307,0.00307,0.00307
72,9312.7,0.65321,0.57595,1.01857,0.89643,0.85968,0.92253,0.7739,0.67182,0.4016,0.97005,0.002971,0.002971,0.002971
73,9440.12,0.64849,0.55976,1.01581,0.88817,0.86676,0.92085,0.77292,0.66653,0.39895,0.96697,0.002872,0.002872,0.002872
74,9567.81,0.63951,0.56008,1.01745,0.88155,0.87583,0.92312,0.77465,0.66516,0.39568,0.96495,0.002773,0.002773,0.002773
75,9694.86,0.64077,0.55436,1.01098,0.88816,0.87281,0.92441,0.77655,0.66167,0.38814,0.96261,0.002674,0.002674,0.002674
76,9821.82,0.63599,0.55035,1.0115,0.89999,0.87074,0.92565,0.77678,0.66122,0.38437,0.9616,0.002575,0.002575,0.002575
77,9948.57,0.63395,0.54334,1.0107,0.8955,0.87522,0.92705,0.77896,0.65725,0.38024,0.95938,0.002476,0.002476,0.002476
78,10075.5,0.63454,0.53982,1.00997,0.90106,0.87478,0.93033,0.78302,0.6569,0.37875,0.95926,0.002377,0.002377,0.002377
79,10202.3,0.624,0.52964,1.00433,0.89911,0.87991,0.93193,0.78541,0.65615,0.37692,0.95899,0.002278,0.002278,0.002278
80,10329.1,0.6279,0.52109,1.00557,0.90128,0.87655,0.93157,0.7859,0.65376,0.37397,0.95794,0.002179,0.002179,0.002179
81,10455.9,0.61886,0.51854,1.00136,0.8722,0.90368,0.93083,0.78481,0.65324,0.37193,0.95793,0.00208,0.00208,0.00208
82,10582.7,0.61279,0.51726,1.00149,0.88174,0.89935,0.93288,0.78633,0.65264,0.37001,0.95772,0.001981,0.001981,0.001981
83,10709.9,0.61242,0.51424,0.99682,0.8881,0.89332,0.93272,0.78797,0.65079,0.36897,0.95675,0.001882,0.001882,0.001882
84,10837,0.60643,0.51311,0.9998,0.8932,0.89547,0.93489,0.78927,0.6498,0.36918,0.95638,0.001783,0.001783,0.001783
85,10964,0.60362,0.51065,0.9977,0.89932,0.89287,0.93604,0.79048,0.64821,0.36781,0.95507,0.001684,0.001684,0.001684
86,11090.8,0.60221,0.50047,0.99609,0.90224,0.88677,0.93604,0.79119,0.6466,0.36656,0.95391,0.001585,0.001585,0.001585
87,11217.7,0.59696,0.48496,0.98913,0.90485,0.89097,0.93643,0.7908,0.64532,0.36567,0.95327,0.001486,0.001486,0.001486
88,11344.5,0.59498,0.48693,0.9898,0.9024,0.89336,0.93685,0.79129,0.64434,0.36421,0.95249,0.001387,0.001387,0.001387
89,11471.4,0.59335,0.48546,0.98852,0.8998,0.89732,0.93746,0.79263,0.64276,0.36256,0.95162,0.001288,0.001288,0.001288
90,11598.1,0.58511,0.47653,0.984,0.89526,0.90497,0.93928,0.79406,0.64151,0.36048,0.95085,0.001189,0.001189,0.001189
91,11725.2,0.59524,0.35132,0.97628,0.9047,0.89998,0.93987,0.79372,0.64092,0.35722,0.95037,0.00109,0.00109,0.00109
92,11851,0.58305,0.33976,0.96745,0.90906,0.8992,0.94056,0.79499,0.63857,0.35472,0.94899,0.000991,0.000991,0.000991
93,11976.4,0.577,0.33288,0.95987,0.90921,0.89822,0.94177,0.7972,0.63664,0.353,0.94783,0.000892,0.000892,0.000892
94,12101.9,0.568,0.32888,0.95934,0.9074,0.90041,0.94211,0.79786,0.63448,0.35117,0.94668,0.000793,0.000793,0.000793
95,12227.7,0.55957,0.32132,0.95402,0.90484,0.90385,0.94303,0.79939,0.63229,0.35003,0.94551,0.000694,0.000694,0.000694
96,12353.3,0.55667,0.31831,0.95057,0.90556,0.90383,0.94328,0.79964,0.63127,0.3489,0.94472,0.000595,0.000595,0.000595
97,12479,0.54965,0.31473,0.94521,0.90681,0.90566,0.94384,0.79998,0.62988,0.34752,0.94405,0.000496,0.000496,0.000496
98,12604.7,0.54554,0.31598,0.94781,0.9056,0.90899,0.94488,0.80211,0.62856,0.34634,0.94319,0.000397,0.000397,0.000397
99,12730.7,0.53933,0.30984,0.94221,0.90626,0.90845,0.9444,0.80273,0.62766,0.34529,0.94255,0.000298,0.000298,0.000298
100,12856.5,0.53783,0.30951,0.94414,0.9072,0.90635,0.94476,0.80213,0.6265,0.34433,0.94199,0.000199,0.000199,0.000199
